"","cluster0","cluster12","cluster17","cluster6","cluster1","cluster8","cluster15","cluster4","cluster2","cluster3","cluster24","cluster5","cluster13","cluster23","cluster20","cluster7","cluster11","cluster18","cluster21","cluster10","cluster9","cluster16","cluster19","cluster25","cluster14","cluster26","cluster28","cluster22","cluster31"
"cluster0",2.19065376381337e-08,0,0,1.22586831775078e-06,0,1.36033595433864e-05,7.58445081144636e-06,0,0,3.72815999931433e-06,5.26469873572544e-07,2.04765149769932e-06,1.2266575562712e-06,0,5.44872196317165e-06,0,1.22213663808521e-06,8.8941955354621e-06,2.91722507928145e-06,0,3.72391210612825e-06,2.89292752164663e-07,7.28057357386867e-07,3.29425025035094e-06,5.62197874121537e-06,9.02640021906701e-07,0,1.34793988442675e-06,0
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",1.45919195069815e-08,8.95163748677816e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster6",4.49564972288304e-06,2.87527821400765e-06,0,0,0,2.60840616982186e-05,0,0,0,0,7.69873819217005e-06,0,0,0,2.0221284670998e-05,0,0,1.38677619809918e-05,1.26954999466338e-05,0,0,0,0,0,0,0,0,0,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",5.21572168340767e-07,2.02201535117616e-07,1.08734243157924e-06,5.76553738693906e-08,0,1.77125220376698e-05,5.55622355371261e-06,6.0943574147702e-07,0,1.40961230147471e-07,7.57662289020291e-07,3.30243889030811e-07,7.94327439187131e-07,0,3.4107657403308e-06,0,0,6.22693456256334e-06,7.0863389581058e-07,2.58562843402715e-07,9.37481421621526e-07,9.60490479082807e-09,5.80863217260601e-08,8.97935266513148e-07,3.17956966610449e-06,4.392605588048e-08,3.72850783932478e-08,1.98736976544118e-06,0
"cluster15",2.52370665465064e-07,1.15680253968936e-07,3.47231069043677e-07,0,0,5.85617328761675e-06,2.25633787616763e-06,0,0,0,3.36225827373267e-07,0,5.03645832713124e-07,0,8.80484944696666e-07,0,0,2.34307873308846e-06,2.97216021122456e-07,1.60067404042628e-07,5.87127725377476e-07,0,0,3.61772617313714e-07,1.17847521100084e-06,0,1.78120806131176e-08,6.7634486245587e-07,0
"cluster4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",4.90604079085531e-06,2.90582236528201e-06,0,0,0,5.67007314233318e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",1.88502012630823e-06,8.87542548705843e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster24",3.19105422222578e-08,1.75354316071949e-09,0,0,0,1.10496320341554e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster5",0,0,0,0,0,4.98844235395783e-06,0,0,0,0,7.47319514986159e-07,0,0,0,2.23331422453461e-06,0,0,2.41265957101088e-06,1.25573068427553e-06,0,0,0,0,0,0,0,0,0,0
"cluster13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster20",2.57229763048804e-06,5.62922644961262e-07,1.15583618314398e-07,0,0,1.1743570390691e-06,2.59468031231594e-07,0,0,0,1.64787825375852e-07,0,8.56149637270841e-08,0,9.68779172569479e-07,0,0,4.59854374706808e-07,7.69628269259015e-08,4.04317196305613e-08,6.01952271157289e-08,0,0,2.65605649343817e-07,2.21438528957919e-07,0,1.51565611988818e-08,1.49130125505768e-07,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",2.28427970127503e-07,5.93498237397615e-09,5.27570220617625e-08,0,0,8.38656702834179e-07,2.83290028587771e-07,0,0,0,6.70024418376297e-08,0,8.19862074866434e-08,0,1.88667856565446e-07,0,0,5.09195524485018e-07,4.46712969672652e-08,2.583021438104e-08,9.30130359469788e-08,0,0,7.82038478706316e-08,1.78982386392968e-07,0,3.07778050496526e-09,1.23445028899171e-07,0
"cluster21",2.08116188907428e-08,1.10011557358994e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster25",0,0,0,0,0,5.50439074458384e-09,0,0,0,0,0,0,0,0,0,0,0,2.60682557445958e-08,0,0,0,0,0,0,0,0,0,0,0
"cluster14",1.01679035506132e-07,6.69440548858106e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster26",0,0,0,0,0,3.66055603983311e-09,0,0,0,0,0,0,0,0,0,0,0,1.93767981493956e-08,0,0,0,0,0,0,0,0,0,0,0
"cluster28",3.4414283498876e-09,2.41044176729782e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69585288604692e-09,0,0,1.46426187026799e-05,0,0
"cluster22",1.08963277028352e-08,7.63140209075602e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
