"","cluster0","cluster12","cluster17","cluster6","cluster1","cluster8","cluster15","cluster4","cluster2","cluster3","cluster24","cluster5","cluster13","cluster23","cluster20","cluster7","cluster11","cluster18","cluster21","cluster10","cluster9","cluster16","cluster19","cluster25","cluster29","cluster14","cluster26","cluster28","cluster22","cluster27"
"cluster0",1.9025567070824e-05,0,0,0,0,6.23633169936046e-05,0,0,0,0,0,0,0,0,3.79873585123434e-06,0,0,2.82260900506023e-06,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",2.07649778597546e-06,0,0,0,0,4.78731105596449e-06,0,0,0,4.39992291020809e-07,0,0,0,0,1.93670317724393e-08,0,0,4.33316137349507e-07,0,0,0,0,0,4.00311087531462e-09,0,0,0,0,0,0
"cluster17",3.8932727487196e-06,0.000208114671591723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87375756204247e-06,0,0,0,0,0,0,0,0,0,0,0
"cluster6",1.21921369159674e-05,9.75428603907091e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72046973947e-05,0,0,0,0,0,0,0,0,0,0,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",1.32113166963791e-06,0,0,0,0,7.44661769129961e-07,0,0,0,1.693182134156e-06,0,0,1.19724266592123e-07,0,0,0,0,0,0,0,0,0,0,9.65174896759816e-07,0,0,0,0,0,0
"cluster15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster4",3.32562862555036e-07,1.265631229652e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48650737722328e-07,0,0,0,0,0,0,0,0,0,0,0
"cluster2",1.82579892290238e-05,0.000225216119672441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10346106932255e-05,0,0,0,0,0,0,0,0,0,0,0
"cluster3",3.9572986881704e-06,4.41708141169856e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89561876936001e-06,0,0,0,0,0,0,0,0,0,0,0
"cluster24",2.42940300658258e-07,3.55881375634655e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12560082458631e-07,0,0,0,0,0,0,0,0,0,0,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster13",1.44093296743699e-06,0,0,0,0,6.01738170182289e-06,0,0,0,0,0,0,0,0,4.27124652137022e-07,0,0,4.4330844542597e-07,0,0,0,0,0,0,0,0,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster20",9.12704924125358e-06,2.18466285144545e-06,0,0,0,1.50720145167496e-06,0,0,0,4.15657865273452e-08,0,0,0,0,2.94340750491398e-07,0,0,7.05971959961999e-08,1.02819513768746e-05,0,0,0,0,3.68370944502203e-08,0,0,0,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",1.29040147177452e-06,0,0,0,0,6.33672068662594e-06,0,0,0,0,0,0,0,0,1.56615333397792e-07,0,0,4.40512030256189e-07,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster21",0,0,0,0,0,0,0,0,0,4.11753523975729e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27516999927188e-08,0,0,0,0,0,0
"cluster10",3.30408745840513e-06,0,0,0,0,1.3547956491395e-05,0,0,0,0,0,0,0,0,1.04138533128083e-06,0,0,9.7369530964968e-07,0,0,0,0,0,0,0,0,0,0,0,0
"cluster9",1.4341743047618e-07,0,0,0,0,6.01827441704002e-07,0,0,0,0,0,0,0,0,3.45441311093152e-08,0,0,9.79423888713961e-08,0,0,0,0,0,0,0,0,0,0,0,0
"cluster16",4.069973856346e-07,0,0,0,0,1.99033497053007e-06,0,0,0,0,0,0,0,0,4.50361698557046e-08,0,0,1.75836632140021e-07,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster25",7.12115058398487e-07,1.08935880650931e-07,0,0,0,1.111710880869e-06,0,0,0,0,0,0,0,0,7.36732294589421e-08,0,0,4.57227932592275e-08,2.7297218267819e-07,0,0,0,0,0,0,0,0,0,0,0
"cluster29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000340554883123312,0,0,0,0,0
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster26",0,0,0,0,0,1.14476139329833e-08,0,0,0,0,0,0,6.07326365429376e-08,0,0,0,0,0,0,0,0,0,0,1.32000817136275e-07,0,0,0,0,0,0
"cluster28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
