"","cluster1","cluster8","cluster9","cluster11","cluster0","cluster15","cluster3","cluster24","cluster5","cluster22","cluster19","cluster17","cluster20","cluster6","cluster4","cluster2","cluster18","cluster13","cluster14","cluster21","cluster7","cluster25","cluster10","cluster12","cluster16","cluster26","cluster27"
"cluster1",0,0,0,0,1.00188132859462e-06,0,0,0,0,0,0,0,0,0,0,0,0,8.86447129101219e-07,0,0,0,0,0,0,0,0,0
"cluster8",0,3.91936026930992e-05,0,0,6.703882037586e-06,0,0,0,0,0,0,0,0,0,0,5.44235950213412e-07,0,0,0,0,0,0,0,0,0,0,0
"cluster9",0,0,0,5.70620754692922e-07,3.87411283728219e-06,0,0,0,3.05104249812903e-07,2.62841896193623e-07,0,0,0,2.9763118004687e-06,0,0,0,0,3.31736291651916e-07,0,0,0,0,0,3.18686950332639e-06,0,0
"cluster11",0,0,0,2.96538190112017e-06,8.08777111757496e-06,0,0,0,0,4.44767753170071e-07,0,9.28869481242632e-07,0,1.63553496000918e-06,0,0,0,0,0,8.26668435099122e-07,0,0,0,9.31940101907446e-07,1.67312393209845e-06,0,0
"cluster0",0,3.23644962762645e-06,0,5.4014328216273e-06,2.00655031811048e-05,0,0,0,4.21724110615803e-06,3.52027030522362e-07,0,3.60997188904018e-07,0,3.21322194830245e-06,2.60217565024827e-06,0,0,5.09452332768258e-06,4.64739556351522e-07,1.02321546513391e-05,0,0,1.10042938492705e-05,1.41450381362128e-06,7.13342354056411e-07,0,0
"cluster15",0,0,0,0,2.89335102812887e-07,0,0,0,0,6.88078137002243e-07,0,0,0,1.29631402968871e-06,1.85442791189023e-06,0,0,0,0,1.22431108947124e-06,0,0,0,0,0,0,0
"cluster3",0,0,0,7.84431434617782e-06,1.66540399176365e-05,0,2.83509299317535e-06,0,6.22680154061177e-06,0,0,1.25032043246632e-05,0,3.72844509657883e-05,5.71211379507396e-06,0,0,0,7.96401298262e-07,0,0,0,0,1.60506463865927e-05,1.20994986385269e-05,0,0
"cluster24",0,0,0,0,7.69981156240234e-06,0,0,4.42904032717348e-06,0,0,0,0,0,8.84453653630108e-06,0,8.63285570885472e-07,0,0,0,0,0,0,0,0,0,0,0
"cluster5",0,0,0,0,4.12575179394387e-06,0,0,0,6.37642387007877e-06,0,0,0,0,0,0,0,0,4.29349243186989e-07,0,0,0,0,0,0,0,0,0
"cluster22",0,0,0,1.77847929388879e-06,3.97344771616601e-06,0,0,0,8.76220721648667e-08,0,0,0,0,1.81403672568729e-07,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,1.94616480186336e-06,0,0,0,1.86349523125718e-06,0,0,0,0,1.12255273305975e-05,4.0711160868096e-06,0,0,0,4.32926884814715e-07,0,0,0,0,3.3813995322797e-06,3.88870516755093e-06,0,0
"cluster17",0,0,0,6.56546836355863e-06,1.25352738066365e-05,0,0,0,6.61414945315712e-07,0,0,6.53900848009232e-05,0,0,0,0,0,0,2.41274253852812e-07,0,0,0,0,0,0,0,0
"cluster20",0,0,0,2.49574897534516e-05,3.75759634185931e-05,0,0,0,1.38465618737739e-05,0,0,5.98601514109277e-05,0,6.16802715252538e-05,0,0,0,0,0,0,0,0,0,4.28869210308551e-05,5.83190769825175e-05,0,0
