"","cluster1","cluster8","cluster9","cluster11","cluster0","cluster15","cluster3","cluster24","cluster5","cluster22","cluster19","cluster17","cluster20","cluster6","cluster4","cluster2","cluster18","cluster13","cluster14","cluster21","cluster7","cluster25","cluster10","cluster12","cluster16","cluster26","cluster28","cluster27"
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",0,0,0,0,0,0,6.48478366070127e-06,0,0,0,0,0,0,0,0,0,4.17824551419332e-07,7.22446015929896e-08,0,0,0,0,4.87804326539186e-06,0,0,0,0,0
"cluster9",0,0,0,0,0,0,1.72086448692062e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1951887288179e-06,0,0,0,0,0
"cluster11",0,0,0,1.84264157559501e-07,0,0,6.40921507781976e-07,0,0,0,0,0,0,0,0,0,1.23520364594004e-06,0,0,0,0,0,1.22595933905131e-06,0,0,0,0,7.29664853629972e-07
"cluster0",0,5.52191968215235e-06,1.51682464200945e-07,1.21572548236359e-07,0,8.69887837597749e-07,7.30857802652164e-07,0,0,0,2.15157573070009e-07,1.06432786829198e-07,0,0,1.58930967110387e-06,0,6.43600396942465e-07,0,2.19855257675718e-07,0,0,0,0,0,0,0,0,0
"cluster15",0,3.80809070069334e-06,0,1.15850397674945e-07,0,1.61253678598999e-06,1.5401180058631e-06,0,0,0,0,0,0,0,5.60123913687639e-07,0,4.42211231169028e-07,0,0,0,0,0,1.29119628586027e-06,0,0,0,0,0
"cluster3",0,0,0,1.95956700956111e-06,0,0,2.58532340897448e-06,0,2.03695519001112e-07,0,0,0,0,0,0,0,1.29162459628063e-05,0,0,0,0,0,8.23121869826991e-06,0,0,0,0,0
"cluster24",0,0,0,3.26713585951635e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.15328660188908e-06,0,0,0,0,0,4.0728102042974e-06,0,0,0,0,0
"cluster5",0,4.51443788840249e-06,0,1.11932188276083e-07,0,5.29386330624466e-07,9.50513568121061e-07,0,0,0,0,7.19369045735725e-08,0,0,1.21446495279193e-06,0,6.00069597163622e-07,0,1.53511075610515e-07,0,0,0,3.52393091077444e-07,0,0,0,0,0
"cluster22",0,0,0,2.05315906427398e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.13374562202622e-07,4.4244584708633e-08,0,0,0,0,1.4740875805413e-06,0,0,0,0,0
