"","cluster1","cluster8","cluster11","cluster0","cluster15","cluster3","cluster24","cluster5","cluster22","cluster19","cluster17","cluster20","cluster6","cluster4","cluster2","cluster18","cluster13","cluster14","cluster21","cluster7","cluster25","cluster10","cluster12","cluster16","cluster26","cluster23"
"cluster1",1.12739054432239e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,0,3.60453571853018e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster0",3.54981449018128e-07,0,0,8.00643608850695e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120011326579298,0,0,0,0
"cluster15",0,0,0,0,8.33452759932654e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster24",0,0,0,0,0,0,0.000312393354551638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster5",0,0,0,0,0,0,0,0.000107479568621984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster22",0,0,0,0,0,0,0,0,0.000188846269150604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,1.18835155806752e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,2.37130377766196e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster20",0,0,0,0,0,0,0,0,0,0,0,0.00129464761867995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster6",0,0,0,0,0,0,0,0,0,0,0,0,0.000559479718454549,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster4",0,0,0,0,0,0,0,0,0,0,0,0,0,4.64396274292947e-05,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000716224507025227,0,0,0,0,0,0,0,0,0,0
"cluster13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000312276093697326,0,0,0,0,0,0,0,0,0
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4423134575302e-05,0,0,0,0,0,0,0,0
"cluster21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33452759932654e-05,0,0,0,0,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05671008817526e-05,0,0,0,0,0
"cluster10",0,0,0,0.000118795462670996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000247207146290238,0,0,0,0
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000497451544577988,0,0,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000416726379966327,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06518024453315e-05
