,cluster6,cluster0,cluster11,cluster13,cluster1,cluster18,cluster17,cluster8,cluster5,cluster25,cluster9,cluster3,cluster21,cluster14,cluster15,cluster19,cluster26,cluster10,cluster16,cluster20,cluster7,cluster4,cluster12,cluster24,cluster2,cluster22,cluster28,cluster30,cluster31
cluster6,0,0,0,0,0,0,0,3.88852114856484e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54316832783152e-05,0,0,0,0,0,0
cluster0,0,2.81566874869823e-06,0,0,0,0,0,1.15171134088312e-05,0,7.60422177405613e-07,0,7.65050747675501e-07,0,0,0,0,0,0,0,0,0,0,8.39505950863756e-07,0,0,0,0,0,0
cluster11,0,0,0,0,0,0,0,4.17220658476793e-06,0,1.04137588520232e-06,0,1.19930865661784e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7550384458166e-06,0,0,0
cluster13,0,0,0,0,0,0,0,5.28703346682064e-06,0,3.23828169306985e-07,0,3.72678858407382e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster1,0,0,0,0,0,0,0,3.09902565201118e-06,0,9.31979903568354e-08,0,1.16914835130327e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster18,0,0,0,0,0,0,0,3.74797776863269e-06,0,4.79614536224447e-08,0,5.45369640361826e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster17,0,0,0,0,0,0,0,1.08761819046729e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83081480696416e-06,0,0,0,0,0,0
cluster8,0,0,0,0,0,0,0,7.96658724400813e-06,0,2.90125631894126e-06,0,3.20090743818167e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster5,0,0,0,0,0,0,0,5.02197388047693e-06,0,1.48322591153364e-07,0,1.67029367971292e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster25,0,0,0,0,0,0,0,3.89484906142623e-06,0,1.43969549981163e-06,0,6.34716964161733e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster9,0,0,0,0,0,0,0,5.34422010128541e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster3,0,0,0,0,0,0,0,3.0364954544912e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40968953982327e-05,0,0,0,5.61536796943427e-06,0,0
cluster21,0,0,0,0,0,0,0,3.94565707920018e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster14,0,0,0,0,0,0,0,3.43997639595721e-06,0,8.77543334092354e-07,0,1.08091105156137e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster15,0,0,0,0,0,0,0,4.21792144234529e-06,0,8.57642980685103e-07,0,9.71773953735839e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster19,0,0,0,0,0,0,0,4.79146891585793e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster26,0,0,0,0,0,0,0,1.45947071915534e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0383899936755e-07,0,0,0,0,0,0
cluster10,0,0,0,0,0,0,0,4.57378543795142e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster16,0,0,0,0,0,0,0,4.40058185442616e-06,0,1.5175343672665e-07,0,1.68856312359316e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster20,0,0,0,0,0,0,0,3.45067026167897e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60519457742102e-05,0,0,0,0,0,0
cluster7,0,0,0,0,0,0,0,7.74566963716194e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster4,0,0,0,0,0,0,0,4.091818043447e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84869098424375e-07,0,0,0,0,0,0
cluster12,0,8.39505950863756e-07,0,0,0,0,0,1.23214386166137e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.51347158004576e-06,0,0,0,0,0,0
cluster24,0,0,0,0,0,0,0,2.68698380242303e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96354227386871e-07,0,0,0,0,0,0
cluster2,0,0,0,0,0,0,0,1.70885052914206e-06,0,0,0,0,0,0,0,0,0,0,0,4.74914246810632e-07,0,0,6.31395847812152e-05,0,0,0,1.35381240992923e-06,0,0
cluster22,0,0,0,0,0,0,0,9.28743234682843e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62879310487428e-06,0,0,0,0,0,0
cluster28,0,0,0,0,0,0,0,2.52228953689171e-07,0,0,0,0,0,0,0,0,0,0,0,3.85309305945683e-07,0,0,0,0,0,0,4.53740863216174e-06,0,0
cluster30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191234056793274,0
cluster31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
