,cluster10,cluster9,cluster13,cluster1,cluster16,cluster19,cluster14,cluster6,cluster0,cluster11,cluster5,cluster3,cluster4,cluster12,cluster2,cluster15,cluster17,cluster18,cluster26,cluster8,cluster20,cluster21,cluster28,cluster7,cluster25,cluster24,cluster22,cluster30
cluster10,0,0,0,0,0,0,0,0,1.44288869528833e-05,0,0,0,6.27999694795973e-05,1.14959748919535e-05,0,0,1.73003640964078e-05,0,0,3.92978350639481e-05,0,0,0,0,0,0,0,0
cluster9,0,3.02987200945189e-06,9.53725822054062e-07,0,0,0,3.53182645086345e-06,1.21890373047714e-06,0,0,2.83901119795414e-06,0,5.23941554356599e-05,6.10145600128269e-06,1.18225020940631e-06,0,5.01149509687273e-06,2.3548403230211e-06,3.30012677343624e-06,3.04870209395351e-05,0,2.51538335430671e-06,0,0,0,0,0,0
cluster13,0,0,1.09963925832597e-05,0,0,0,1.40209837945683e-06,4.22703490904868e-06,1.3746838034241e-05,8.54541153004541e-07,3.89973447999254e-06,0,1.47577265334813e-05,3.35018174085637e-05,0,1.56998857778329e-05,1.13442544191517e-05,1.95009245705775e-06,0,9.34237599230432e-06,0,8.46734863336041e-06,0,0,0,0,0,0
cluster1,0,0,0,0,0,0,0,1.34491142494783e-06,0,0,0,0,1.06194538248488e-06,1.73655611803984e-06,0,0,2.10345629825744e-06,0,0,2.63433517760249e-06,0,0,0,0,0,0,0,0
cluster16,0,0,3.53514889904882e-06,0,0,0,0,7.6549896906294e-07,9.48340847712937e-06,7.51045621958726e-07,0,0,0,1.63360630941923e-05,0,0,0,0,0,3.59742020584261e-06,0,0,0,0,0,0,0,0
cluster19,0,0,0,0,0,0,0,6.56290106124655e-06,1.27233535242494e-05,3.92739391746626e-07,0,0,3.82859767709703e-05,6.92551605940209e-06,0,0,1.62869504238522e-05,0,0,3.36727766470901e-05,0,0,0,0,0,0,0,0
cluster14,0,3.53182645086345e-06,7.01136936071746e-07,0,0,0,1.87761995270213e-05,3.30183609491451e-06,1.83330785303594e-05,0,9.28020196088178e-06,0,2.06132661023028e-05,4.11726796303928e-05,9.88465070729777e-07,0,6.98241052966718e-06,9.3550375490826e-06,8.53757409776831e-06,1.19107599861356e-05,0,0,0,0,0,0,0,0
cluster6,0,0,1.69076411567606e-06,0,0,0,0,5.19867485038494e-05,0,2.40274556784417e-06,0,0,9.0119269833972e-05,8.00995712034144e-05,2.52676949528279e-06,0,8.40981828001807e-05,0,7.95914695030345e-05,2.15644425876795e-05,7.23071160595227e-06,6.24254124328349e-06,0,0,0,0,0,0
cluster0,1.44288869528833e-05,0,1.3746838034241e-05,0,9.48340847712937e-06,1.27233535242494e-05,1.83330785303594e-05,0,0.000133155245658048,0,0,0,4.72426118577169e-05,7.09880064254633e-05,0,2.96722087249109e-05,3.49744680752662e-05,0,0,4.43094178830858e-05,0,0,0,0,0,0,0,0
cluster11,0,0,0,0,0,0,0,3.20317243864492e-06,0,0.000130972891595545,0,0,0,6.30181117132848e-06,0,1.35724808142308e-06,0,0,0,8.45626558581416e-06,0,4.83706551895168e-06,0,0,0,0,0,0
cluster5,0,2.83901119795414e-06,2.59960192562259e-06,0,0,0,9.28020196088178e-06,0,0,0,1.9504447229728e-05,0,3.47396034802262e-05,1.75660779527113e-05,0,0,0,8.91024068987393e-06,0,2.29723823022083e-05,0,0,0,0,0,0,0,0
cluster3,0,0,0,0,4.50150576256108e-06,0,0,3.67893455079056e-05,0,9.26939272369497e-06,2.80353131510639e-05,6.40055129011898e-05,5.20798091209218e-05,7.11871538884634e-05,0,0,0.000252239766928755,0,0.000174182914430239,0,6.16638158388559e-06,0,0,0,0,0,0,0
cluster4,0,0,0,0,6.56281801197986e-07,0,0,5.26847857234399e-06,0,0,2.78974184808271e-06,0,8.4154135077237e-05,1.19849445654807e-05,0,0,2.57148690294795e-05,0,0,1.74401957270395e-05,1.07248008060421e-06,0,0,0,0,0,0,0
