,cluster0,cluster10,cluster3,cluster4,cluster18,cluster20,cluster6,cluster13,cluster12,cluster24,cluster21,cluster11,cluster1,cluster5,cluster9,cluster14,cluster7,cluster8,cluster17,cluster16,cluster25,cluster2,cluster15,cluster19,cluster26,cluster28,cluster27,cluster22,cluster30,cluster31
cluster0,2.50076310206e-05,3.80761153874359e-06,1.97090740012412e-06,3.40472318958598e-06,0,0,2.80533132365358e-06,0,1.5688120311081e-05,0,2.0342621405508e-06,4.84583131554102e-06,0,0,0,0,0,8.21067038057325e-06,0,0,1.29487290738738e-05,0,0,0,1.11227924627334e-06,0,0,4.38395802730524e-06,0,0
cluster10,3.80761153874359e-06,0,2.09658313404424e-07,0,0,0,0,0,2.43557658539205e-06,0,0,0,0,0,0,0,0,1.96284899096634e-06,0,0,7.54505140623636e-07,0,0,0,0,0,0,2.25359817477065e-06,0,0
cluster3,0,0,9.31260173076414e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57710692561002e-06,0,0,9.7932401591243e-07,0,0,0,0,0,0,7.9099870919896e-06,0,0
cluster4,3.40472318958598e-06,0,2.78861595550619e-07,0,0,0,0,0,2.16837331933137e-06,0,0,0,0,0,0,0,0,1.44678587784175e-06,0,0,9.40848688630725e-07,0,0,0,0,0,0,1.84960783367538e-06,0,0
cluster18,0,0,5.44971130200311e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10920305142577e-06,0,0,2.07381364342793e-06,0,0,0,0,0,0,2.33143024005642e-06,0,0
cluster20,0,0,1.02822958477686e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65419344145617e-06,0,0,3.78813512758894e-06,0,0,0,0,0,0,1.09082267257117e-05,0,0
cluster6,2.80533132365358e-06,0,6.71345680139346e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96905283865337e-06,0,0,1.9934717776242e-06,0,0,0,0,0,0,9.88460631913314e-06,0,0
cluster13,0,0,8.67399095376327e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05764819937916e-06,0,0,3.03498547896709e-06,0,0,0,0,0,0,2.07981139543564e-06,0,0
cluster12,1.5688120311081e-05,2.43557658539205e-06,1.78552102610765e-06,2.16837331933137e-06,0,0,0,0,1.08477486724829e-05,0,5.71099020490571e-07,3.26503429444068e-06,0,0,0,0,0,2.26265895013299e-06,0,1.72318686303591e-07,1.01284060344415e-05,0,0,0,0,0,0,2.0649011094033e-06,0,0
cluster24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2154900822075e-06,0,0,0,0,0,0,0,0,0,0,0,0
cluster21,2.0342621405508e-06,0,4.05752029520725e-07,0,0,0,0,0,5.71099020490571e-07,0,1.46462924465141e-06,0,0,0,0,0,0,1.31168699216764e-06,0,1.27933600414434e-07,1.4020571292899e-06,0,0,0,0,0,0,1.61039365493793e-06,0,0
cluster11,4.84583131554102e-06,0,1.35504040468109e-06,0,0,0,0,0,3.26503429444068e-06,0,0,0,0,0,0,0,0,2.14029002209113e-06,0,0,6.36194138597975e-06,0,0,0,0,0,0,1.93413441997574e-06,0,0
cluster1,0,0,9.93668851579189e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58418009049368e-06,0,0,3.42305080871213e-06,0,0,0,0,0,0,1.19144040771299e-06,0,0
cluster5,0,0,1.0229974524468e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4474234037007e-06,0,0,3.46209168131174e-06,0,0,0,0,0,0,2.56052469098731e-06,0,0
