"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster18","cluster19","cluster2","cluster20","cluster21","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.000149353935016208,0,2.04415421310883e-06,0,0,0,0,0,0,0,0,0,0,0,0,6.44366606013511e-05,1.67477778478052e-05,0,0,3.44905258369106e-06,1.16942405654797e-06,4.70555362081879e-06
"cluster1",1.43997971646645e-06,0,1.40792069210854e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.54455385690851e-05,0,0,0,0,9.8879067547497e-08,1.0458535119812e-07
"cluster10",1.18373248557635e-05,2.64782415626096e-07,3.05144395589427e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.0322497081225e-05,0,0,0,2.13966462503511e-07,8.08013306111165e-07,6.85317010780612e-07
"cluster11",1.19553193411615e-05,0,1.01549852140991e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.7409398393847e-05,0,0,0,0,8.42225681731629e-07,1.3167567943155e-06
"cluster12",8.89927108795666e-06,0,1.38170045568702e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.66164416302983e-05,0,0,0,0,7.73144174080509e-07,6.06156252113124e-07
"cluster13",9.92773698190593e-05,0,7.89961309078071e-06,0,0,8.65005452498247e-06,0,0,0,0,0,6.05761827713842e-06,0,0,0,0.000158614952772638,0,0,0,4.45866943467603e-06,5.29825769277822e-06,1.05760101018527e-05
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27196898335647e-06,0,0,0,0,0,0
"cluster15",1.36561404713008e-05,0,1.23533018024174e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.18652686482654e-05,0,0,0,3.13343051173109e-07,8.39140924871018e-07,1.07743967323575e-06
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42122278884776e-07,2.31387415951698e-07
"cluster2",0.000657753028574638,0,5.35500772572048e-05,0,0,0,0,0,0,0,0,5.36373323122869e-05,0,0,0,0.000988173354174478,0,0,0,2.35509769163492e-05,3.88170001713266e-05,7.74772454826856e-05
"cluster20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",5.51893066117331e-05,6.93710625532944e-07,4.04093339862296e-06,0,0,1.27764641566851e-05,0,0,0,0,0,0,1.82109969778515e-07,0,0,0.000706188615016213,3.51325803337684e-05,0,0,8.46393059535098e-06,1.40059467288799e-06,1.06711604562611e-05
"cluster4",7.77187116821163e-05,2.71890154507241e-07,6.121043455446e-06,0,0,0,0,0,0,0,0,6.45246943571432e-06,0,0,0,0.000144051564285736,0,0,0,4.27636855623536e-06,3.73907078984943e-06,1.0499851641769e-05
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79710873760599e-06,0,0,0,0,0,0
"cluster6",8.00662977670566e-06,0,7.89295322870055e-07,0,0,1.20721881015504e-06,0,0,0,0,0,0,0,0,0,1.47078817579092e-05,7.63189130084697e-08,0,0,8.46237233985691e-08,5.75558050662175e-07,5.96189166250744e-07
"cluster7",3.33898646953335e-05,0,3.32463903746676e-06,0,0,5.65748084712942e-06,0,0,0,0,0,0,5.51353792381376e-08,0,0,6.54674579131559e-05,1.32035738393751e-07,0,0,6.84085154676429e-06,1.43471091705105e-06,2.58811485425455e-06
"cluster8",6.81345616555302e-06,0,2.69762411606358e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.01210785146963e-05,0,0,0,0,7.67963083020692e-07,1.39199822795628e-07
"cluster9",4.61072950909874e-05,0,4.06545272570663e-06,0,0,0,0,0,0,0,0,3.77533113333689e-06,0,0,0,9.6582954454482e-05,0,0,0,1.44420199737556e-06,2.47738283270901e-06,1.77487903761174e-05
