"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster18","cluster19","cluster2","cluster20","cluster21","cluster23","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.000156143120728423,0,0,0,0,1.23398983750037e-06,2.90719811713458e-06,0,0,1.81376073734641e-07,0,0,2.99943827823347e-06,1.30177506032995e-06,0,0,0.000158832920533132,4.93550428544159e-05,0,0,1.69491777070062e-05,3.55665563209642e-06,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,1.63701697579506e-06,0,0,0,2.08067304679295e-05,0,0,0,0,0,0
"cluster10",3.41104529729137e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74650419413572e-06,3.1180549167998e-09,0,0,7.14849173167246e-08,0,0
"cluster11",1.05322759617188e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83286274218535e-05,3.92278536626825e-08,0,0,1.8175703230078e-06,8.73804776427138e-07,0
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76426870026799e-06,0,0,0,0,0,0
"cluster13",0.000147523130037179,0,8.73000788929258e-06,0,0,5.03925983586113e-05,0,0,0,2.74316080556547e-06,0,0,0,1.46684300195451e-05,0,0,0.000217840146884856,5.16237468573861e-07,0,0,2.4493732867336e-05,1.03435107406703e-05,0
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81547738811237e-06,0,0,0,0,0,0
"cluster15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47315982702328e-06,0,0,0,0,0,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",3.44828502050971e-06,0,0,0,0,0,0,0,0,8.78573732509711e-06,0,0,7.54078865699883e-07,0,0,0,8.52956350751409e-06,2.24677161183341e-08,0,0,6.35019367053736e-07,0,0
"cluster18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66403439576998e-06,0,0,0,0,0,0
"cluster2",0.00145330673535434,0,8.84251850004171e-05,0,0,3.37898161018857e-05,0,0,0,3.5785848984755e-05,0,0,0,0.000144238410388846,0,0,0.00196874335179616,4.99565100986003e-06,0,0,0.000229436862877345,0.000113093214262666,0
"cluster20",1.460656356383e-05,0,5.66103112527504e-07,0,0,1.06935140758952e-05,0,0,0,0,0,0,2.53025142138297e-07,0.000162853603726592,0,0,2.33385248967096e-05,9.84787527929073e-06,0,3.47024389273954e-08,3.62384156016877e-06,3.83840126029192e-06,0
"cluster21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0.000129655393416063,5.75570099105547e-07,1.03498409566392e-06,0,0,2.9938419858944e-05,4.62607955609824e-06,0,0,1.40300506535003e-06,0,0,3.49317807173936e-06,4.76604735013832e-06,0,0,0.000445941061763183,8.20602110322285e-05,0,0,2.60726767031027e-05,3.99830054123842e-06,0
"cluster4",0.000105204734482205,8.81157447374645e-07,5.72671473676519e-06,0,0,2.6836109140581e-06,0,0,0,3.88398670153646e-06,0,0,0,1.07709772088049e-05,0,0,0.000180017152346007,9.72117693166017e-07,0,0,1.78726322025785e-05,6.96286992940303e-06,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91596396664153e-06,0,0,0,0,0,0
"cluster6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.72236155792304e-06,0,0,0,0,0,0
"cluster7",2.50620999695914e-05,0,0,0,0,2.06380917591148e-07,5.28626666558585e-07,0,0,0,0,0,4.21543601854404e-08,0,0,0,4.46986814291094e-05,7.52790762046519e-06,0,0,4.88538586898166e-05,4.92683795607294e-07,0
"cluster8",4.27356859670028e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57086698580036e-05,2.11554448659841e-07,0,0,4.17583643980148e-06,2.84852147483088e-07,0
"cluster9",1.7416239147406e-05,0,1.337670371141e-06,0,0,6.02652568744884e-08,0,0,0,0,0,0,0,2.37589865283277e-06,0,0,3.13561255718793e-05,5.3861057163172e-08,0,0,3.27565791285237e-06,1.39655124245036e-06,0
