"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster19","cluster2","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.000254719065211412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73587583247193e-06
"cluster1",2.160761103506e-07,0,0,0,0,2.44745045917222e-07,0,0,0,0,0,0,0,0,0,5.98635718851594e-05,0
"cluster10",0,0,3.70085623307528e-06,0,0,0,0,0,0,0,0,0,0,6.91691234070767e-07,0,0,0
"cluster11",3.9177259614421e-06,0,0,0,0,9.30110991791226e-07,0,0,0,0,0,9.08494307963174e-07,0,0,0,0,2.45797012555936e-06
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51604632463892e-07
"cluster13",0,0,0,0,0,5.29172477886183e-05,0,1.65986617538653e-06,0,0,0,1.47181227732782e-05,0,0,0,0,2.75290118452609e-05
"cluster14",0,4.66503080594507e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9802883830124e-07
"cluster15",0,0,0,0,0,1.826636615831e-05,0,3.15084149723283e-05,0,2.35328410299955e-07,0,5.6526032432436e-07,0,0,0,0,1.36942009668152e-06
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.000292023927804305,0,0,0,0,4.758585879455e-05,0,1.63329297848348e-06,0,0,0,6.42871841694271e-05,0,1.07340644120668e-05,0,0,0.000105883489193071
"cluster3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster4",0,0,0,0,0,1.0490317701722e-05,0,0,0,0,0,7.73501141653965e-05,0,0,0,0,2.53647998359642e-05
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster6",0,0,0,0,0,0,0,0,0,1.62553120363138e-07,0,0,0,2.01727477445941e-06,0,0,8.63937434469919e-07
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000156680016843769,0
"cluster9",4.25733817974404e-05,0,0,0,0,6.04099033558276e-06,0,1.59261714952095e-07,0,0,0,9.3689466348909e-06,0,0,0,0,3.00517475353233e-05
