"","cluster0","cluster1","cluster10","cluster11","cluster13","cluster14","cluster2","cluster3","cluster4","cluster7","cluster8","cluster9"
"cluster0",0.000210503792740475,0,0,0,0,0,0,0.000220103310058656,0,0,0,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0
"cluster10",0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,0,0,0,0,0,0,0,0,0,0,0
"cluster13",0,0,0,0,0,0,0,0,0,0,0,0
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0.000174247379576208,0,0,0,0,0,0,0.000488142519030088,0,0,0,0
"cluster4",0,0,0,0,0,0,0,0,0,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",0,0,0,0,0,0,0,0,0,0,0,0
"cluster9",0,0,0,0,0,0,0,0,0,0,0,0
