"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster17","cluster18","cluster19","cluster2","cluster21","cluster23","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.000202849445496402,0,1.02165876758827e-06,0,0,2.36063506620919e-06,0,2.20709415454611e-07,0,0,0,3.46197144195863e-07,0,0,3.76552655657369e-05,2.16738587849423e-05,0,0,0,4.72552086464787e-06,0
"cluster1",7.06497944921421e-05,0,0,0,0,4.10110738954365e-07,0,0,0,0,0,0,0,0,2.89145630190006e-05,0,0,0,0,0,0
"cluster10",1.36036152024194e-05,0,1.18554699798236e-05,0,0,3.91340703852115e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18344341305693e-06,0
"cluster11",4.72463658496185e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30711913948464e-06,0,0,0,0,0,0
"cluster12",9.68729194905463e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13394412373357e-07,0,0,0,0,0
"cluster13",7.87035944279314e-05,0,5.73439442327707e-07,0,0,1.86507126271342e-05,0,0,0,0,0,2.7429371822797e-06,0,0,7.95423368586082e-05,1.6214980714053e-05,0,0,0,1.33155940241464e-05,0
"cluster14",5.65658231956956e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50508009614322e-08,0
"cluster15",7.62524504695028e-06,0,0,0,0,0,0,4.25113499476331e-06,0,0,0,4.16598428885721e-07,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.0006363178688701,0,0,0,0,0,0,3.82271814046275e-07,0,0,0,0.00023578990471415,0,0,0.000547482772771105,2.54420689946085e-05,0,0,0,0.000115268627397708,0
"cluster21",5.45064547209249e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28261591848562e-05,0,0,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",4.3369299317262e-05,3.72141538350489e-07,0,0,0,5.39352279499425e-06,0,0,0,0,0,8.34657144436097e-07,0,0,0.000843023875776692,5.06314367473397e-05,0,0,0,3.35599919364029e-06,0
"cluster4",2.30662528501048e-05,0,0,0,4.52451476699728e-07,0,0,0,0,0,0,5.50546198320077e-07,0,0,5.81570258893222e-05,1.82034777756674e-05,0,0,0,2.75762749617936e-06,0
"cluster5",7.32644063481615e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04248800388569e-05,0,0,0,0,0,0
"cluster6",8.5568773962235e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31973050847333e-08,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster8",0.000100001864413473,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31791558554763e-05,5.79350472894558e-07,0,0,0,6.11437987654218e-06,0
"cluster9",2.99459124537633e-05,0,0,0,0,2.23638733205818e-06,0,0,0,0,0,1.73610309034948e-06,0,0,0,1.76433630365195e-06,0,0,0,5.28210630626601e-06,0
