"","cluster0","cluster10","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster2","cluster22","cluster3","cluster4","cluster6","cluster7","cluster9"
"cluster0",0.0183934334064724,0,0,0.000650446742119552,0,0,0,0,0.000102623474871105,0,0,0.000289858667566499,0,0,0
"cluster10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster13",0.00259042010939345,0,0,0.00713916010508282,0,0,0,0,0.00215161527044034,0,0,0.00161435945662681,0.000948009236692292,0,0
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.00334442977612352,0,0,0.00770526277776612,0,0,0,0,0.0016566263164377,0,0,0.00103710800403504,0.000835615106627336,0,0
"cluster22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster4",0.0012413444543902,0,0,0.0015198709201895,0,0,0,0,0.000199981767924028,0,0,0.00223166629129786,0.000212245593727792,0,0
"cluster6",0,0,0,1.03919190836805e-05,0,0,0,0,4.20525311679839e-06,0,0,5.66078728034122e-05,0.000655562485825176,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00334603794831316,0
"cluster9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
