"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster18","cluster19","cluster2","cluster22","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.000809385196935236,7.91438305421132e-06,9.93226792308829e-06,0,0,2.60612340939417e-05,8.17740435369493e-06,0,0,0,0,0,0,0,0.000407816301417317,3.83326543377707e-05,0,2.61652341655787e-06,5.93955937651325e-05,1.62610238512644e-05,2.20429004639547e-06
"cluster1",6.72476847143388e-05,0.000397172055085025,0,0,0,1.17853105822643e-05,0,0,0,0,0,0,1.25162519678057e-06,0,0,0,0,0,0,0,0
"cluster10",5.07510054207114e-05,3.24214747849913e-06,1.57287364681486e-05,0,0,1.57151053655762e-06,0,0,0,0,0,0,0,0,5.34276347366116e-05,1.30965635602383e-06,0,1.83033615931785e-06,6.28586305232921e-06,2.41230143305705e-06,0
"cluster11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",2.0082331635075e-05,0,0,0,0,3.37296552538299e-06,0,0,0,0,0,0,0,0,4.65152143157323e-05,0,0,0,1.49038584549567e-06,0,0
"cluster13",0.000929579731068657,9.9063718643958e-05,0,0,0,0.00121522844676204,3.68324798934808e-05,0,0,0,0,0,4.83276170755289e-05,0,0.00241928972391204,0.000323401622342081,0,1.3868499880244e-06,0.000721892186776084,0.000102232335305732,1.19886686502766e-05
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22626206335682e-06,2.06571204598494e-05,0,0,0,0,0
"cluster15",4.84072363456113e-05,0,0,0,0,1.35470382455481e-05,0,0,0,0,0,0,0,0,0.00010498193588796,8.08805670146027e-07,0,0,1.03949129818357e-05,0,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.00109849415119147,0.000152057590216255,0,0,0,0.0010557021872094,3.28753062739963e-06,0,0,0,0,0,0,0,0.00281594916372513,3.88242019396463e-05,0,0,0.000890422048971794,0.000110199766557047,0
"cluster22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33878106525425e-07,3.15849616903959e-07,0,0,0,0,0
"cluster3",0.000260012026843993,0,0,0,0,6.45379990788187e-05,2.13986272151101e-05,0,0,0,0,0,7.63818588357267e-06,0,0.00458724120476244,7.21653888796563e-05,0,4.33404003926003e-06,9.14514108817866e-05,0,5.32106833935078e-06
"cluster4",0.000292542102400864,0,0,0,0,0.000184141698799075,0,0,0,0,0,0,0,0,0.000509845123971111,0.000177608038504429,0,4.06854840140261e-06,0.000184882109389506,0,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44786215045378e-06,0,0,0,0,0,0
"cluster6",4.59693893384373e-05,4.10896930099923e-05,0,0,0,1.07282287735257e-05,0,0,0,0,0,0,0,0,9.00836745303211e-05,5.64330279241163e-06,0,7.89209936545153e-07,2.81481331940289e-06,5.09953519847371e-08,0
"cluster7",0.000154160504963094,0,0,0,0,6.62678908011458e-05,8.68144220949124e-06,0,0,0,0,0,2.44986156593391e-08,0,0.000365233708043995,6.47703424281385e-05,0,2.10647002544837e-06,0.000876875085042499,0,0
"cluster8",2.78638183844428e-05,0,0,0,0,9.82613297417906e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76500508504923e-05,0
"cluster9",0.000102848663946167,3.67301216399216e-05,0,0,0,3.53110911063687e-05,0,0,0,0,0,0,0,0,0.000218288829929082,6.46911086016501e-07,0,0,2.74478518328189e-05,0,0
