"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster19","cluster2","cluster20","cluster22","cluster23","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0,0,0,0,0,1.26153027076425e-05,0,0,0,0,0,0,0,0,0,0.00154231913204392,0.000104327477965344,0,0,0.000286633585028022,0,0
"cluster1",2.02787520632323e-05,0,0,0,0,5.44958528350146e-06,0,0,0,0,0,0,0,0,0,6.87851646897846e-05,4.57374588833535e-07,0,0,1.3761552876395e-05,0,0
"cluster10",0,0,0,0,0,3.98740905023454e-07,0,0,0,0,0,0,0,0,0,0,2.54995347469588e-06,0,0,0,0,0
"cluster11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",2.16510557010526e-05,0,0,0,0,4.70660732404532e-06,0,0,0,0,0,0,0,0,0,5.84461760452752e-05,0,0,0,3.69729372815444e-05,2.49891035799807e-06,0
"cluster13",0.00163198260533175,0.000178396245658767,0.00020246637381861,0,0,0.00302853934820308,0,0,0,0,0,4.62292582277715e-05,0,0,0,0.00474195781115364,0.000543445232000842,0,1.57428921143665e-05,0.00467327166645235,0.000341788026367403,5.08300514255456e-07
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33591006426381e-05,0,0,0,0,0
"cluster15",0,0,0,0,0,8.29380793980956e-06,0,0,0,0,0,0,0,0,0,1.33769130687351e-06,1.70516404151562e-07,0,0,0,0,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.00163876039039388,0.000214920289189867,0.000253245596508248,0,0,0.00112912246796425,0,0,0,0,0,0,0,0,0,0.00514196467455371,1.9909978462304e-05,0,1.61376071406468e-05,0.00481156678080441,0.000393990935516619,0
"cluster20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0.000913402168084736,2.83205889610376e-06,1.13891176540279e-06,0,0,0.000155010638441164,0,0,0,0,0,1.11107631708002e-06,0,0,0,0.00460491487765206,0.000331923506281232,0,7.64479624060219e-08,0.00266180464500655,1.4009149385055e-05,0
"cluster4",0.000270968390747432,2.13293702024506e-05,2.61894005744188e-05,0,0,0.000164274359442022,0,0,0,0,0,0,0,0,0,0.00081154758574948,0.000479738248703212,0,7.25332643210177e-07,0.0007629250116095,5.13975594600345e-05,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster6",0,0,0,0,0,3.03486261549119e-06,0,0,0,0,0,0,0,0,0,1.11736223142079e-05,3.8411990165274e-06,0,0,0,0,0
"cluster7",2.53869173040827e-06,3.30552805016537e-07,2.28828338017282e-07,0,0,6.00580956114404e-05,0,0,0,0,0,6.29941326711843e-09,0,0,0,0.00229073418089583,0.000325114889987369,0,0,0.00221401908010787,2.1657755768228e-07,0
"cluster8",0,0,0,0,0,5.19305502094407e-08,0,0,0,0,0,0,0,0,0,2.01555736521468e-05,1.17773460129771e-06,0,0,0,1.11532674433472e-05,0
"cluster9",0,0,0,0,0,1.2826524201287e-07,0,0,0,0,0,0,0,0,0,0,2.68739124710467e-06,0,0,0,0,0
