"","cluster0","cluster1","cluster10","cluster12","cluster13","cluster14","cluster15","cluster17","cluster19","cluster2","cluster21","cluster22","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.000450354684142617,0,2.68596257858143e-05,0,0,0,0,0,0,9.64813175032776e-06,0,0,0.00156116272464717,0,0,7.687750544156e-06,0.000114448327406491,0,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster10",1.43603362741263e-05,0,0,0,0,0,1.56755744134008e-06,0,0,0,0,0,9.96331439695963e-05,0,0,0,0,0,0
"cluster12",0,0,0,6.35361036378043e-05,0,0,0,0,0,0,0,0,0.000227408532833068,0,0,0,0,0,0
"cluster13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster15",0,0,0,0,0,0,0,0,0,0,0,0,5.96392967882138e-06,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.000584225950176768,0,0,0,0,0,0,0,0,0.00256645477400375,0,0,0,0,0,1.00574409323203e-06,0,0,0
"cluster21",2.21489651427294e-06,0,0,0,0,0,0,0,0,0,0,0,5.91871095946296e-05,0,0,0,0,0,0
"cluster22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0.00153878352979343,0,9.27186613320687e-05,0,0,0,3.46726720127921e-05,0,0,0,0,0,0.00488628117276916,0,1.18240374264444e-05,1.04298615889031e-05,0.000539638171332857,0,0
"cluster4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,2.27767014063262e-05,0,0,0,0,0,0
"cluster6",2.13649363349339e-05,0,0,8.95158321796363e-07,0,0,0,0,0,4.90728610453176e-07,0,0,4.99415178476892e-05,0,0,0,2.03602913211969e-06,0,0
"cluster7",0.000108822218924575,0,0,0,0,0,0,0,0,0,0,0,0.00061915430625201,0,0,9.9619397788356e-07,0.00159229578618809,0,0
"cluster8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
