"","cluster0","cluster1","cluster10","cluster12","cluster13","cluster14","cluster15","cluster17","cluster18","cluster2","cluster23","cluster3","cluster4","cluster5","cluster6","cluster7","cluster9"
"cluster0",7.09468055093205e-05,0,0,0,0,0,0,0,0,3.67696002451371e-06,0,6.07784611740392e-05,1.20399250085425e-06,0,0,0,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.00099050801632257,0,0,0,0,0,0,0,0,9.77654892680309e-05,0,0.000447370615454819,4.08861305805192e-05,0,0,0,0
"cluster23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",9.18224666786832e-05,0,0,0,0,0,0,0,0,1.76616706377165e-06,0,0.000267540982970196,3.3133713516831e-05,0,0,0,0
"cluster4",0.000262459210340039,0,0,0,0,0,0,0,0,0,0,0.000190374952950746,4.91640135635858e-05,0,0,0,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
