"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster18","cluster19","cluster2","cluster20","cluster21","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.00433993895251388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0359278850105e-05,0,1.37831023113818e-07,0,0,0
"cluster1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50197165598122e-05,0,0,0,0,0,0
"cluster11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",1.97532510978992e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82241643326894e-05,0,0,0,0,2.20101808007452e-06,0
"cluster13",0,0,0,0,0,0.000546796687986558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster14",3.75720970570835e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71120481054371e-05,0,0,0,0,0,0
"cluster15",2.63998616306088e-05,0,0,0,0,5.41319581008439e-07,0,0,0,0,0,0,0,0,0,4.01193491943183e-05,0,0,0,9.3230232603129e-07,1.10054025682566e-06,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",1.55125991752564e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41062763386956e-05,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0,0,0,0,0,0.000174546283437454,0,0,0,0,0,0,0,0,0,0,1.90968377118789e-07,0,0,0,0,0
"cluster20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28170530411999e-05,0,0,0,0,0,0
"cluster3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03618978506176e-05,0.00587907901679328,1.95585736239418e-05,0,9.09609638828206e-08,0,0,0
"cluster4",6.98607062234179e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50441869797241e-06,0.000104910764082383,0,0,0,0,6.53779925098646e-06,0
"cluster5",4.04421894768115e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37780116567046e-05,0,0,0,0,0,0
"cluster6",5.71119378744899e-05,0,0,0,0,3.24902688103552e-06,0,0,0,0,0,0,0,0,2.09322667270068e-06,8.40370907202323e-05,0,0,0,5.36690481197346e-06,6.71528903042398e-06,0
"cluster7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39718039422264e-07,0.00136553454550216,0,0
"cluster8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17197134639682e-05,0,0,0,1.76490607134646e-05,0
"cluster9",2.90130752318471e-05,0,0,0,0,2.77028546443681e-06,0,0,0,0,0,0,0,0,0,4.90170419986047e-05,0,0,0,0,1.26064469121595e-06,0
