"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster17","cluster18","cluster19","cluster2","cluster20","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",7.68062166785594e-05,2.10999955964904e-05,2.17673815586541e-06,0,0,8.82666855530873e-06,0,0,0,0,0,1.74379021867559e-08,0,7.40282871455019e-05,3.42027627959265e-06,0,2.61172162372308e-05,1.98961926390914e-05,6.24861134327198e-07,0
"cluster1",2.6862471783307e-05,8.2867656963769e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster13",0.000113598420210906,0,0,0,0,0.000475868418845288,0,0,0,0,0,7.13816431736831e-06,0,0.000464781703011206,0.000114500877244544,0,5.04451054170366e-05,0.000160686943657916,0,0
"cluster14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster2",0.000229894391527402,0,0,0,0,0.000543485076029432,0,0,0,0,0,0,0,0.000694146240243402,3.09772874335484e-06,0,2.13176863812248e-05,0.000155917197628386,0,0
"cluster20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",4.7431614065041e-05,0,0,0,0,1.91543244264989e-05,0,0,0,0,0,1.5049851240616e-06,0,0.000694612853979149,3.13109035055919e-05,0,0,0,0,0
"cluster4",6.56215634273105e-05,0,0,0,0,0.00015968168644303,0,0,0,0,0,0,0,0.000290383951404686,9.48667962353967e-06,0,2.33869149699862e-05,0,0,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster6",6.78545636402746e-06,0,0,0,0,4.58817627801086e-06,0,0,0,0,0,3.93060976257362e-07,0,0,2.25978985413455e-06,0,7.68159670619824e-05,0,0,0
"cluster7",9.94185124562844e-05,0,0,0,0,7.68922138172824e-05,0,0,0,0,0,0,0,0,0,0,0,0.000538810605617385,0,0
"cluster8",1.17271082871792e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65707512103321e-06,0,0,0,0,0
"cluster9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60406791998856e-06
