"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster18","cluster19","cluster2","cluster20","cluster23","cluster25","cluster26","cluster27","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0.000118571974868447,0,0,0,0,0,0,0,1.077104641116e-06,0,0,0,0,0,3.04369932738333e-05,0,0,0,0.000306588432018361,0,0,0,2.45742214084805e-05,0,0
"cluster1",2.55001423813587e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17161706260672e-05,0,0,0,5.69736757585916e-05,0,0,0,8.1185133558651e-06,0,0
"cluster10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",4.53201020395886e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19600446224029e-05,0,0,0,0.000101041139140954,0,0,0,1.53906007622939e-05,0,0
"cluster13",0.000445747492229163,0,0,0,0,2.26049351889099e-06,0,0,0,0,0,0,0,0,0.000309117673920692,0,0,0,0.00119734903691896,4.94488843318763e-06,0,0,0.000198999435293589,0,0
"cluster14",5.33655812698259e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71947444855493e-06,0,0,0,9.46451215874957e-06,0,0,0,1.68286995075545e-07,0,0
"cluster15",7.37216560265937e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13926663100769e-05,0,0,0,0.000161804289306772,0,0,0,2.25558552651824e-05,0,0
"cluster16",7.0058999931554e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",9.83735918195585e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7488814962913e-05,0,0,0,4.38324426764681e-06,0,0
"cluster18",3.39590050644659e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster19",6.96062068981565e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55466951763889e-07,0,0,0,1.69909297115885e-06,0,0,0,2.53941192563522e-07,0,0
"cluster2",0.00100794548737102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000621807408574849,0,0,0,0.00222387216824934,0,0,0,0.00034932367850014,0,0
"cluster20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster23",4.68433959011316e-05,0,0,0,0,5.42416978307187e-07,0,0,0,0,0,0,0,0,0.00235675329223343,0,0,0,0.000154755927441171,1.25368242687783e-05,0,0,2.40841685606355e-05,0,0
"cluster25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0.000170583560200498,0,0,0,0,6.68579232182626e-07,0,0,0,1.40118030832014e-08,0,0,0,0,6.36977194308035e-05,0,0,0,0.000994485799491858,2.12866641548696e-05,0,0,4.35570165134208e-05,0,0
"cluster4",0.00021544028972182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000152144627522467,0,0,0,0.000584263170545433,0,0,0,7.53550137819531e-05,0,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster6",3.31234295632828e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2172351007922e-05,0,0,0,6.9802742337325e-05,0,0,0,9.63122840323793e-06,0,0
"cluster7",5.47789519070057e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44287690186729e-05,0,0,0,0.000155760198640799,0,0,0,7.169786087998e-05,0,0
"cluster8",7.2392917747511e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73704013515294e-06,0,0,0,1.62251836089941e-05,0,0,0,2.3142284832062e-06,0,0
"cluster9",6.27007489257533e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10978234996352e-05,0,0,0,0.000147507704970035,0,0,0,2.28775240977336e-05,0,0
