"","cluster0","cluster1","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15","cluster16","cluster17","cluster18","cluster19","cluster2","cluster20","cluster21","cluster23","cluster27","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9"
"cluster0",0,0,5.73503033241602e-06,0,0,7.57669862093678e-05,0,0,0,1.42296119216848e-05,0,0,1.36633948906765e-07,0,0,7.21825670962623e-05,0,0.00226947347381607,3.03110438307548e-05,0,0,0.000627066132023078,0,0
"cluster1",0,0,0,0,0,4.7191123768923e-05,0,0,0,1.791313615209e-05,0,0,0,0,0,3.98545328032228e-05,0,0.000675496270325554,2.66685043990083e-06,0,0,0.000198538244497093,0,0
"cluster10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22607813178777e-07,0,0,0,2.90944593561346e-10,0,0
"cluster11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58776254678394e-06,0,0,0,6.719962555591e-08,0,0
"cluster13",0.000998746842247072,0.000220886089823195,2.94844626423205e-05,0,0,0.00227948369940349,1.35968792897405e-05,2.4614995611171e-06,0,0,0,0.000238742825686256,8.64109593430103e-06,0.0001852864607813,0,0,0,0.00248344738128088,0.000158891270451806,0,8.36261038111778e-05,0.00204315044355214,0.000144491901652375,0
"cluster14",0,0,0,0,0,5.56665094328895e-06,0,0,0,0,0,0,0,0,0,1.8654941216623e-06,0,1.1692648749625e-05,0,0,0,1.37288088742873e-06,0,0
"cluster15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90352477683089e-06,0,0,0,1.19681353921605e-07,0,0
"cluster16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster17",2.37978056644029e-05,0,0,0,0,0,0,0,0,0.000353974709416618,0,0,1.16718918167346e-07,0,0,0,0,0.000167695467762455,2.4029157177364e-06,0,0,6.04099533979593e-05,0,0
"cluster18",1.21004789851841e-06,0,0,0,0,2.40370617504769e-06,0,0,0,0,0,0,0,0,0,0,0,5.68623887026226e-06,0,0,0,5.84560437398314e-06,0,0
"cluster19",7.20891301838494e-07,0,0,0,0,3.53279452432526e-06,0,0,0,0,0,2.02936022526024e-05,0,0,0,0,0,1.07508884193058e-05,0,0,0,4.93639993502841e-06,1.78879552303506e-06,0
"cluster2",0.00172781582487755,0.000231356276992584,1.14256226569798e-05,0,0,0.000471804078304105,0,0,0,0.000177950421338597,0,0.00014354220782607,0,2.26451152482414e-05,0,0.000716407569261224,0,0.00330683374142043,6.63664401252397e-06,0,0.00010744892007693,0.00220962637503684,0.000160719929046506,0
"cluster20",1.16730395293611e-05,0,0,0,0,2.84970795898523e-05,0,0,0,0,0,0,0,0,0,0,0,5.71569459777849e-05,5.99255337800334e-07,0,0,6.73501833898579e-05,0,0
"cluster21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster23",3.98591849874169e-05,7.47345948102719e-06,3.89732873958516e-06,0,0,0,0,0,0,0,0,0,8.1023855578586e-07,0,0,0.00265733607529202,0,0.000105391922958157,1.6980884772735e-05,0,1.6712906548032e-06,5.38710338102523e-05,0,0
"cluster27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cluster3",0.00166727192233061,3.37604782918823e-06,1.93581697862258e-05,0,0,0.000189721740757673,7.61026980567541e-06,0,0,6.1540591594645e-05,0,5.13363228435684e-06,2.23212069108534e-06,9.8528013405534e-06,0,0.000150609638810941,0,0.00402939987796709,0.000106096171548226,0,1.58939288615774e-07,0.00199241070992225,1.72422741520452e-07,0
"cluster4",0.000294681716263099,4.82257358253619e-05,1.12918809900293e-06,0,0,0.000132970959441755,0,0,0,3.65406524478624e-05,0,4.28815669203616e-05,0,4.87288093847745e-06,0,0.000160653245188074,0,0.000953604293420504,8.6759409698769e-06,0,2.39279385680128e-05,0.000399632843775696,2.81509945830636e-05,0
"cluster5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18695501170513e-06,0,0,0,0,0,0
"cluster6",0,0,0,0,0,2.55249316875568e-05,0,0,0,3.88169013338182e-06,0,0,0,0,0,4.99962348101364e-06,0,6.95395275384762e-05,0,0,0,3.2942658822693e-06,0,0
"cluster7",0.000717785723683419,0,8.91176214067873e-06,0,0,0.000171825956927134,4.1652540878245e-06,0,0,4.47288613160065e-05,0,9.5023925268031e-07,8.16811218723561e-07,1.10698512043644e-05,0,0.000100623039394141,0,0.00253353833932514,6.2148428407681e-05,0,0,0.00220922252409055,0,0
"cluster8",0,0,0,0,0,1.06803610944298e-05,0,0,0,0,0,0,0,0,0,0,0,5.12719260898796e-05,1.20093275693825e-06,0,0,1.68940824500407e-05,0,0
"cluster9",0,0,0,0,0,2.35146588595331e-06,0,0,0,0,0,0,0,0,0,0,0,1.31812112106031e-05,0,0,0,6.65533534154275e-07,0,0
